state,state_cd_old,abbr,lat,longitude,k,state_cd,text_size,highlight_stroke
ANDAMAN & NICOBAR,35,IN.AN,11.25587507,93.8,4,35,3,0.25
Andhra Pradesh,37,IN.AP,17.5,80.8,4,28,3,0.25
Arunachal Pradesh,12,IN.AR,29,94.9,6,12,1.5,0.25
Assam,18,IN.AS,26.36484286,92.83475019,4,18,3,0.25
Bihar,10,IN.BR,25.68569178,85.60433927,4,10,3,0.25
Chandigarh,4,IN.CH,30.73526142,76.76696017,4,4,3,0.25
Chhattisgarh,22,IN.CT,21.28738816,82.04172692,4,22,3,0.25
DADRA & NAGAR HAVE,26,IN.DN,20.19938064,73.07469932,20,26,1,0.25
DAMAN & DIU,25,IN.DD,20.41090682,72.85923767,4,25,3,0.25
Goa,30,IN.GA,15.36166051,74.05621078,10,30,2,0.25
Gujarat,24,IN.GJ,22.69818206,71.59480659,4,24,3,0.25
Haryana,6,IN.HR,30.1,76.33174824,7,6,1.5,0.25
Himachal Pradesh,2,IN.HP,32.5,77.3,7,2,1.5,0.25
Ladakh,1,IN.LK,34.96829522,76.77223348,4,37,3,0.25
Jharkhand,20,IN.JH,23.66142117,85.56035437,4,20,3,0.25
Karnataka,29,IN.KA,14.72282111,76.16639629,4,29,3,0.25
Kerala,32,IN.KL,10.45483094,76.40486504,4,32,3,0.25
Lakshadweep,31,IN.LD,8.283187202,73.05751482,4,31,3,0.25
Madhya Pradesh,23,IN.MP,24.5,79.5,4,23,3,0.25
Maharashtra,27,IN.MH,20.4,77,4,27,3,0.25
Manipur,14,IN.MN,24.7399997,93.88261049,4,14,3,0.25
Meghalaya,17,IN.ML,25.5354666,91.27472019,4,17,3,0.25
Mizoram,15,IN.MZ,23.31489795,92.83526287,4,15,3,0.25
Nagaland,13,IN.NL,26.06777557,94.47061449,4,13,3,0.25
DELHI,7,IN.DL,28.8,77.3,40,7,0.25,0.1
Odisha,21,IN.OR,20.51697113,84.42432679,4,21,3,0.25
Punjab,3,IN.PB,30.84815238,75.41000673,4,3,3,0.25
Rajasthan,8,IN.RJ,26.61000015,73.84773792,4,8,3,0.25
Sikkim,11,IN.SK,27.57078098,88.47229163,4,11,3,0.25
Tamil Nadu,33,IN.TN,11.01630043,78.40414136,4,33,3,0.25
Telangana,36,IN.TG,17.80139787,79.05922697,4,36,3,0.25
Tripura,16,IN.TR,23.74864976,91.74243817,4,16,3,0.25
Uttar Pradesh,9,IN.UP,28,82,4,9,3,0.25
Uttarakhand,5,IN.UT,30.16224198,79.19756625,4,5,3,0.25
West Bengal,19,IN.WB,23.87827233,87.9756744,4,19,3,0.25
Puducherry,34,IN.PY,11.90971634,79.7685348,4,34,3,0.25
Jammu & Kashmir,1,IN.JK,35,76.6,4.5,1,2,0.25
